Time,Force,Acc_x,Acc_r,Position,Velocity,Acc
6.020,,,,0.0042,-0.002,-1.044
6.030,,,,0.0042,-0.012,-1.112
6.040,,,,0.0040,-0.024,-1.112
6.050,0.01,-1.0,1.0,0.0038,-0.036,-1.011
6.060,,,,0.0033,-0.044,-0.876
6.070,,,,0.0028,-0.053,-0.808
6.080,,,,0.0023,-0.061,-0.741
6.090,,,,0.0016,-0.069,-0.539
6.100,0.00,-0.5,0.5,8.4884E-4,-0.073,-0.269
6.110,,,,1.2126E-4,-0.073,-0.034
6.120,,,,-6.0631E-4,-0.073,0.168
6.130,,,,-0.0013,-0.071,0.438
6.140,,,,-0.0021,-0.065,0.775
6.150,-0.01,0.9,0.9,-0.0027,-0.055,1.078
6.160,,,,-0.0032,-0.042,1.280
6.170,,,,-0.0035,-0.028,1.381
6.180,,,,-0.0038,-0.014,1.381
6.190,,,,-0.0038,-2.168E-17,1.280
6.200,-0.01,1.2,1.2,-0.0038,0.012,1.112
6.210,,,,-0.0035,0.022,0.909
6.220,,,,-0.0033,0.030,0.775
6.230,,,,-0.0029,0.036,0.707
6.240,,,,-0.0025,0.044,0.606
6.250,0.00,0.4,0.4,-0.0021,0.051,0.371
6.260,,,,-0.0015,0.053,0.034
6.270,,,,-9.7010E-4,0.051,-0.236
6.280,,,,-4.8505E-4,0.046,-0.404
6.290,,,,-1.3704E-16,0.042,-0.505
6.300,0.00,-0.6,0.6,3.6379E-4,0.036,-0.573
6.310,,,,7.2757E-4,0.030,-0.640
6.320,,,,9.7010E-4,0.024,-0.741
6.330,,,,0.0012,0.016,-0.876
6.340,,,,0.0013,0.006,-0.943
6.350,0.00,-0.8,0.8,0.0013,-0.004,-0.876
6.360,,,,0.0012,-0.012,-0.707
6.370,,,,0.0011,-0.018,-0.505
6.380,,,,8.4884E-4,-0.022,-0.303
6.390,,,,6.0631E-4,-0.024,-0.168
6.400,0.00,-0.3,0.3,3.6379E-4,-0.024,-0.135
6.410,,,,1.2126E-4,-0.026,-0.135
6.420,,,,-1.2126E-4,-0.028,-0.067
6.430,,,,-4.8505E-4,-0.028,0.101
6.440,,,,-7.2757E-4,-0.026,0.269
6.450,-0.01,0.3,0.3,-9.7010E-4,-0.022,0.371
6.460,,,,-0.0012,-0.018,0.404
6.470,,,,-0.0013,-0.014,0.404
6.480,,,,-0.0015,-0.010,0.438
6.490,,,,-0.0016,-0.006,0.472
6.500,0.00,0.5,0.5,-0.0016,0.000,0.438
6.510,,,,-0.0016,0.004,0.303
6.520,,,,-0.0015,0.006,0.135
6.530,,,,-0.0015,0.006,0.067
6.540,,,,-0.0013,0.006,0.067
6.550,-0.01,0.1,0.1,-0.0013,0.008,0.067
6.560,,,,-0.0012,0.008,-1.050E-14
6.570,,,,-0.0011,0.008,-0.067
6.580,,,,-0.0011,0.006,-0.067
6.590,,,,-9.7010E-4,0.006,-0.034
6.600,0.00,-0.1,0.1,-9.7010E-4,0.006,8.977E-15
6.610,,,,-8.4884E-4,0.006,-0.034
6.620,,,,-8.4884E-4,0.006,-0.101
6.630,,,,-7.2757E-4,0.004,-0.168
6.640,,,,-7.2757E-4,0.002,-0.168
6.650,0.00,-0.1,0.1,-7.2757E-4,0.000,-0.101
6.660,,,,-7.2757E-4,0.000,-0.034
6.670,,,,-7.2757E-4,0.000,0.000
6.680,,,,-7.2757E-4,0.000,0.000
6.690,,,,-7.2757E-4,0.000,0.000
6.700,0.00,0.0,0.1,-7.2757E-4,0.000,0.000
6.710,,,,-7.2757E-4,0.000,0.000
6.720,,,,-7.2757E-4,0.000,0.000
6.730,,,,-7.2757E-4,0.000,0.000
6.740,,,,-7.2757E-4,0.000,0.000
6.750,0.00,0.0,0.0,-7.2757E-4,0.000,0.000
6.760,,,,-7.2757E-4,0.000,0.000
6.770,,,,-7.2757E-4,0.000,0.000
6.780,,,,-7.2757E-4,0.000,0.000
6.790,,,,-7.2757E-4,0.000,0.000
6.800,0.00,0.0,0.1,-7.2757E-4,0.000,0.000
6.810,,,,-7.2757E-4,0.000,0.000
6.820,,,,-7.2757E-4,0.000,0.000
6.830,,,,-7.2757E-4,0.000,0.000
6.840,,,,-7.2757E-4,0.000,0.000
6.850,-0.01,0.0,0.0,-7.2757E-4,0.000,0.000
6.860,,,,-7.2757E-4,0.000,0.000
6.870,,,,-7.2757E-4,0.000,0.000
6.880,,,,-7.2757E-4,0.000,0.000
6.890,,,,-7.2757E-4,0.000,0.000
6.900,-0.01,0.0,0.0,-7.2757E-4,0.000,0.000
6.910,,,,-7.2757E-4,0.000,0.000
6.920,,,,-7.2757E-4,0.000,0.000
6.930,,,,-7.2757E-4,0.000,0.000
6.940,,,,-7.2757E-4,0.000,0.000
6.950,-0.01,0.0,0.0,-7.2757E-4,0.000,0.000
6.960,,,,-7.2757E-4,0.000,0.000
6.970,,,,-7.2757E-4,0.000,0.000
6.980,,,,-7.2757E-4,0.000,0.000
6.990,,,,-7.2757E-4,0.000,0.000
7.000,-0.01,0.0,0.0,-7.2757E-4,0.000,0.000
7.010,,,,-7.2757E-4,0.000,0.000
7.020,,,,-7.2757E-4,0.000,0.000
7.030,,,,-7.2757E-4,0.000,0.000
7.040,,,,-7.2757E-4,0.000,0.000
7.050,-0.01,0.0,0.1,-7.2757E-4,0.000,0.000
7.060,,,,-7.2757E-4,0.000,0.000
7.070,,,,-7.2757E-4,0.000,0.000
7.080,,,,-7.2757E-4,0.000,0.000
7.090,,,,-7.2757E-4,0.000,0.000
7.100,-0.01,0.0,0.0,-7.2757E-4,0.000,0.000
7.110,,,,-7.2757E-4,0.000,0.000
7.120,,,,-7.2757E-4,0.000,0.000
7.130,,,,-7.2757E-4,0.000,
7.140,,,,-7.2757E-4,0.000,
7.150,-0.01,0.0,0.1,-7.2757E-4,,
